hipps_code,hhrg_weight
2AGKT,1.2657
2AGKU,1.2657
2AGKV,1.2657
2AGKW,1.2657
2AGKX,1.2657
2AGLS,1.4649
2AGLT,1.4649
2AGLU,1.4649
2AGLV,1.4649
2AGLW,1.4649
2AGLX,1.4649
2AGMS,1.6640
2AGMT,1.6640
2AGMU,1.6640
2AGMV,1.6640
2AGMW,1.6640
2AGMX,1.6640
2AHKS,1.3624
2AHKT,1.3624
2AHKU,1.3624
2AHKV,1.3624
2AHKW,1.3624
2AHKX,1.3624
2AHLS,1.5565
2AHLT,1.5565
2AHLU,1.5565
2AHLV,1.5565
2AHLW,1.5565
2AHLX,1.5565
2AHMS,1.7506
2AHMT,1.7506
2AHMU,1.7506
2AHMV,1.7506
2AHMW,1.7506
2AHMX,1.7506
2BFKS,1.3109
2BFKT,1.3109
2BFKU,1.3109
2BFKV,1.3109
2BFKW,1.3109
2BFKX,1.3109
2BFLS,1.5142
2BFLT,1.5142
2BFLU,1.5142
2BFLV,1.5142
2BFLW,1.5142
2BFLX,1.5142
2BFMS,1.7175
2BFMT,1.7175
2BFMU,1.7175
2BFMV,1.7175
2BFMW,1.7175
2BFMX,1.7175
2BGKS,1.3497
2BGKT,1.3497
2BGKU,1.3497
2BGKV,1.3497
2BGKW,1.3497
2BGKX,1.3497
2BGLS,1.5570
2BGLT,1.5570
2BGLU,1.5570
2BGLV,1.5570
2BGLW,1.5570
2BGLX,1.5570
2BGMS,1.7643
2BGMT,1.7643
2BGMU,1.7643
2BGMV,1.7643
2BGMW,1.7643
2BGMX,1.7643
2BHKS,1.4463
2BHKT,1.4463
2BHKU,1.4463
2BHKV,1.4463
2BHKW,1.4463
2BHKX,1.4463
2BHLS,1.6486
2BHLT,1.6486
2BHLU,1.6486
2BHLV,1.6486
2BHLW,1.6486
2BHLX,1.6486
2BHMS,1.8509
2BHMT,1.8509
2BHMU,1.8509
2BHMV,1.8509
2BHMW,1.8509
2BHMX,1.8509
2CFKS,1.4900
2CFKT,1.4900
2CFKU,1.4900
2CFKV,1.4900
2CFKW,1.4900
2CFKX,1.4900
