hipps_code	hhrg_weight
1CHMT,1.6030
1CHMU,1.6030
1CHMV,1.6030
1CHMW,1.6030
1CHMX,1.6030
1CHNS,1.7986
1CHNT,1.7986
1CHNU,1.7986
1CHNV,1.7986
1CHNW,1.7986
1CHNX,1.7986
1CHPS,1.9942
1CHPT,1.9942
1CHPU,1.9942
1CHPV,1.9942
1CHPW,1.9942
1CHPX,1.9942
2AFKS,1.6223
2AFKT,1.6223
2AFKU,1.6223
2AFKV,1.6223
2AFKW,1.6223
2AFKX,1.6223
2AFLS,1.8331
2AFLT,1.8331
2AFLU,1.8331
2AFLV,1.8331
2AFLW,1.8331
2AFLX,1.8331
2AFMS,2.0438
2AFMT,2.0438
2AFMU,2.0438
2AFMV,2.0438
2AFMW,2.0438
2AFMX,2.0438
2AGKS,1.7186
2AGKT,1.7186
2AGKU,1.7186
2AGKV,1.7186
2AGKW,1.7186
2AGKX,1.7186
2AGLS,1.9496
2AGLT,1.9496
2AGLU,1.9496
2AGLV,1.9496
2AGLW,1.9496
2AGLX,1.9496
2AGMS,2.1807
2AGMT,2.1807
2AGMU,2.1807
2AGMV,2.1807
2AGMW,2.1807
2AGMX,2.1807
2AHKS,1.7668
2AHKT,1.7668
2AHKU,1.7668
2AHKV,1.7668
2AHKW,1.7668
2AHKX,1.7668
2AHLS,2.0252
2AHLT,2.0252
2AHLU,2.0252
2AHLV,2.0252
2AHLW,2.0252
2AHLX,2.0252
2AHMS,2.2836
2AHMT,2.2836
2AHMU,2.2836
2AHMV,2.2836
2AHMW,2.2836
2AHMX,2.2836
2BFKS,1.8153
2BFKT,1.8153
2BFKU,1.8153
2BFKV,1.8153
2BFKW,1.8153
2BFKX,1.8153
2BFLS,2.0224
2BFLT,2.0224
2BFLU,2.0224
2BFLV,2.0224
2BFLW,2.0224
2BFLX,2.0224
2BFMS,2.2294
2BFMT,2.2294
2BFMU,2.2294
2BFMV,2.2294
2BFMW,2.2294
2BFMX,2.2294
2BGKS,1.9116
2BGKT,1.9116
2BGKU,1.9116
2BGKV,1.9116
2BGKW,1.9116
2BGKX,1.9116
