hipps_code,hhrg_weight
1AFKS,0.608
1AFKT,0.608
1AFKU,0.608
1AFKV,0.608
1AFKW,0.608
1AFKX,0.608
1AFLS,0.7273
1AFLT,0.7273
1AFLU,0.7273
1AFLV,0.7273
1AFLW,0.7273
1AFLX,0.7273
1AFMS,0.8468
1AFMT,0.8468
1AFMU,0.8468
1AFMV,0.8468
1AFMW,0.8468
1AFMX,0.8468
1AFNS,0.9661
1AFNT,0.9661
1AFNU,0.9661
1AFNV,0.9661
1AFNW,0.9661
1AFNX,0.9661
1AFPS,1.0856
1AFPT,1.0856
1AFPU,1.0856
1AFPV,1.0856
1AFPW,1.0856
1AFPX,1.0856
1AGKS,0.7631
1AGKT,0.7631
1AGKU,0.7631
1AGKV,0.7631
1AGKW,0.7631
1AGKX,0.7631
1AGLS,0.8658
1AGLT,0.8658
1AGLU,0.8658
1AGLV,0.8658
1AGLW,0.8658
1AGLX,0.8658
1AGMS,0.9684
1AGMT,0.9684
1AGMU,0.9684
1AGMV,0.9684
1AGMW,0.9684
1AGMX,0.9684
1AGNS,1.0711
1AGNT,1.0711
1AGNU,1.0711
1AGNV,1.0711
1AGNW,1.0711
1AGNX,1.0711
1AGPS,1.1738
1AGPT,1.1738
1AGPU,1.1738
1AGPV,1.1738
1AGPW,1.1738
1AGPX,1.1738
1AHKS,0.8343
1AHKT,0.8343
1AHKU,0.8343
1AHKV,0.8343
1AHKW,0.8343
1AHKX,0.8343
1AHLS,0.9299
1AHLT,0.9299
1AHLU,0.9299
1AHLV,0.9299
1AHLW,0.9299
1AHLX,0.9299
1AHMS,1.0255
1AHMT,1.0255
1AHMU,1.0255
1AHMV,1.0255
1AHMW,1.0255
1AHMX,1.0255
1AHNS,1.1211
1AHNT,1.1211
1AHNU,1.1211
1AHNV,1.1211
1AHNW,1.1211
1AHNX,1.1211
1AHPS,1.2167
1AHPT,1.2167
1AHPU,1.2167
1AHPV,1.2167
1AHPW,1.2167
1AHPX,1.2167
