code,Name,State,CBSA,wage_index
45230,Callahan, Texas  ,10180,0.8225
45721,Jones, Texas  ,10180,0.8225
45911,Taylor, Texas  ,10180,0.8225
40020,Aguada, Puerto Rico  ,10380,0.3647
40030,Aguadilla, Puerto Rico  ,10380,0.3647
40060,Anasco, Puerto Rico  ,10380,0.3647
40350,Isabela, Puerto Rico  ,10380,0.3647
40400,Lares, Puerto Rico  ,10380,0.3647
40490,Moca, Puerto Rico  ,10380,0.3647
40580,Rincon, Puerto Rico  ,10380,0.3647
40660,San Sebastian, Puerto Rico  ,10380,0.3647
36680,Portage, Ohio,10420,0.8521
36780,Summit, Ohio,10420,0.8521
11020,Baker, Georgia  ,10500,0.8713
11390,Dougherty, Georgia  ,10500,0.8713
11670,Lee, Georgia  ,10500,0.8713
11885,Terrell, Georgia  ,10500,0.8713
11980,Worth, Georgia  ,10500,0.8713
33000,Albany, New York  ,10580,0.86
33600,Rensselaer, New York  ,10580,0.86
33640,Saratoga, New York  ,10580,0.86
33650,Schenectady, New York  ,10580,0.86
33660,Schoharie, New York  ,10580,0.86
32000,Bernalillo, New Mexico  ,10740,0.9663
32210,Sandoval, New Mexico  ,10740,0.9663
32280,Torrance, New Mexico  ,10740,0.9663
32300,Valencia, New Mexico  ,10740,0.9663
19210,Grant, Louisiana  ,10780,0.7788
19390,Rapides, Louisiana  ,10780,0.7788
39190,Carbon, Pennsylvania  ,10900,0.9215
39470,Lehigh, Pennsylvania  ,10900,0.9215
39590,Northampton, Pennsylvania  ,10900,0.9215
31390,Warren, New Jersey,10900,0.9215
39120,Blair, Pennsylvania  ,11020,0.9101
45050,Armstrong, Texas  ,11100,0.8302
45251,Carson, Texas  ,11100,0.8302
45860,Potter, Texas  ,11100,0.8302
45871,Randall, Texas  ,11100,0.8302
16840,Story, Iowa  ,11180,0.9425
2020,Anchorage, Alaska  ,11260,1.2221
2170,Matanuska, Alaska  ,11260,1.2221
15470,Madison, Indiana  ,11300,0.9654
42030,Anderson, S Carolina  ,11340,0.8766
23800,Washtenaw, Michigan  ,11460,1.0086
1070,Calhoun, Alabama  ,11500,0.7402
52070,Calumet, Wisconsin  ,11540,0.9445
52430,Outagamie, Wisconsin  ,11540,0.9445
34100,Buncombe, N Carolina  ,11700,0.8511
34430,Haywood, N Carolina  ,11700,0.8511
34440,Henderson, N Carolina  ,11700,0.8511
34570,Madison, N Carolina  ,11700,0.8511
11260,Clarke, Georgia  ,12020,0.9244
11720,Madison, Georgia  ,12020,0.9244
11800,Oconee, Georgia  ,12020,0.9244
11801,Oglethorpe, Georgia  ,12020,0.9244
11050,Barrow, Georgia  ,12060,0.9452
11060,Bartow, Georgia  ,12060,0.9452
11160,Butts, Georgia  ,12060,0.9452
11190,Carroll, Georgia  ,12060,0.9452
11250,Cherokee, Georgia  ,12060,0.9452
11280,Clayton, Georgia  ,12060,0.9452
11290,Cobb, Georgia  ,12060,0.9452
11320,Coweta, Georgia  ,12060,0.9452
11350,Dawson, Georgia  ,12060,0.9452
11370,De Kalb, Georgia  ,12060,0.9452
11400,Douglas, Georgia  ,12060,0.9452
11451,Fayette, Georgia  ,12060,0.9452
11461,Forsyth, Georgia  ,12060,0.9452
11470,Fulton, Georgia  ,12060,0.9452
11530,Gwinnett, Georgia  ,12060,0.9452
11570,Haralson, Georgia  ,12060,0.9452
11590,Heard, Georgia  ,12060,0.9452
11591,Henry, Georgia  ,12060,0.9452
11611,Jasper, Georgia  ,12060,0.9452
11651,Lamar, Georgia  ,12060,0.9452
11740,Meriwether, Georgia  ,12060,0.9452
11790,Newton, Georgia  ,12060,0.9452
11810,Paulding, Georgia  ,12060,0.9452
11812,Pickens, Georgia  ,12060,0.9452
11821,Pike, Georgia  ,12060,0.9452
11841,Rockdale, Georgia  ,12060,0.9452
11860,Spalding, Georgia  ,12060,0.9452
11930,Walton, Georgia  ,12060,0.9452
31000,Atlantic, New Jersey,12100,1.2258
1400,Lee, Alabama  ,12220,0.7771
42010,Aiken, S Carolina  ,12260,0.915
11150,Burke, Georgia  ,12260,0.915
11310,Columbia, Georgia  ,12260,0.915
42180,Edgefield, S Carolina  ,12260,0.915
11702,Mc Duffie, Georgia  ,12260,0.915
11840,Richmond, Georgia  ,12260,0.915
45100,Bastrop, Texas  ,12420,0.9576
45223,Caldwell, Texas  ,12420,0.9576
45631,Hays, Texas  ,12420,0.9576
45940,Travis, Texas  ,12420,0.9576
45970,Williamson, Texas  ,12420,0.9576
5140,Kern, California  ,12540,1.1579
21010,Anne Arundel, Maryland  ,12580,0.9873
21030,Baltimore City, Maryland  ,12580,0.9873
21020,Baltimore, Maryland  ,12580,0.9873
21060,Carroll, Maryland  ,12580,0.9873
21120,Harford, Maryland  ,12580,0.9873
21130,Howard, Maryland  ,12580,0.9873
21170,Queen Annes, Maryland  ,12580,0.9873
20090,Penobscot, Maine  ,12620,0.971
22000,Barnstable, Massachusetts  ,12700,1.3007
19020,Ascension, Louisiana  ,12940,0.8078
19160,East Baton Rouge, Louisiana  ,12940,0.8078
19180,East Feliciana, Louisiana  ,12940,0.8078
19230,Iberville, Louisiana  ,12940,0.8078
19310,Livingston, Louisiana  ,12940,0.8078
19380,Pointe Coupee, Louisiana  ,12940,0.8078
19450,St Helena, Louisiana  ,12940,0.8078
19600,West Baton Rouge, Louisiana  ,12940,0.8078
19620,West Feliciana, Louisiana  ,12940,0.8078
23120,Calhoun, Michigan  ,12980,0.9915
23080,Bay, Michigan  ,13020,0.9486
45600,Hardin, Texas  ,13140,0.8598
45700,Jefferson, Texas  ,13140,0.8598
45840,Orange, Texas  ,13140,0.8598
50360,Whatcom, Washington  ,13380,1.189
38080,Deschutes, Oregon  ,13460,1.1807
21100,Frederick, Maryland  ,13644,1.0319
21150,Montgomery, Maryland  ,13644,1.0319
27040,Carbon, Montana  ,13740,0.8691
27550,Yellowstone, Montana  ,13740,0.8691
33030,Broome, New York  ,13780,0.8602
33720,Tioga, New York  ,13780,0.8602
1030,Bibb, Alabama  ,13820,0.8367
1040,Blount, Alabama  ,13820,0.8367
1100,Chilton, Alabama  ,13820,0.8367
1360,Jefferson, Alabama  ,13820,0.8367
1580,Shelby, Alabama  ,13820,0.8367
1570,St Clair, Alabama  ,13820,0.8367
