HIPPS Code,HHRG Weight,Supply Add-on,Rural Supply Add-on
1CFKS,0.9071,14.56,15
1CFKT,0.9071,52.58,54.16
1CFKU,0.9071,144.16,148.49
1CFKV,0.9071,214.19,220.61
1CFKW,0.9071,330.29,340.2
1CFKX,0.9071,568.06,585.11
1CFLS,1.1348,14.56,15
1CFLT,1.1348,52.58,54.16
1CFLU,1.1348,144.16,148.49
1CFLV,1.1348,214.19,220.61
1CFLW,1.1348,330.29,340.2
1CFLX,1.1348,568.06,585.11
1CFMS,1.3624,14.56,15
1CFMT,1.3624,52.58,54.16
1CFMU,1.3624,144.16,148.49
1CFMV,1.3624,214.19,220.61
1CFMW,1.3624,330.29,340.2
1CFMX,1.3624,568.06,585.11
1CFNS,1.59,14.56,15
1CFNT,1.59,52.58,54.16
1CFNU,1.59,144.16,148.49
1CFNV,1.59,214.19,220.61
1CFNW,1.59,330.29,340.2
1CFNX,1.59,568.06,585.11
1CFPS,1.8177,14.56,15
1CFPT,1.8177,52.58,54.16
1CFPU,1.8177,144.16,148.49
1CFPV,1.8177,214.19,220.61
1CFPW,1.8177,330.29,340.2
1CFPW,1.8177,568.06,585.11
1CGKS,1.116,14.56,15
1CGKT,1.116,52.58,54.16
1CGKU,1.116,144.16,148.49
1CGKV,1.116,214.19,220.61
1CGKW,1.116,330.29,340.2
1CGKX,1.116,568.06,585.11
1CGLS,1.3211,14.56,15
1CGLT,1.3211,52.58,54.16
1CGLU,1.3211,144.16,148.49
1CGLV,1.3211,214.19,220.61
1CGLW,1.3211,330.29,340.2
1CGLX,1.3211,568.06,585.11
1CGMS,1.5262,14.56,15
1CGMT,1.5262,52.58,54.16
1CGMU,1.5262,144.16,148.49
1CGMV,1.5262,214.19,220.61
1CGMW,1.5262,330.29,340.2
1CGMX,1.5262,568.06,585.11
1CGNS,1.7313,14.56,15
1CGNT,1.7313,52.58,54.16
1CGNU,1.7313,144.16,148.49
1CGNV,1.7313,214.19,220.61
1CGNW,1.7313,330.29,340.2
1CGNX,1.7313,568.06,585.11
1CGPS,1.9364,14.56,15
1CGPT,1.9364,52.58,54.16
1CGPU,1.9364,144.16,148.49
1CGPV,1.9364,214.19,220.61
1CGPW,1.9364,330.29,340.2
1CGPX,1.9364,568.06,585.11
1CHKS,1.2118,14.56,15
1CHKT,1.2118,52.58,54.16
1CHKU,1.2118,144.16,148.49
1CHKV,1.2118,214.19,220.61
1CHKW,1.2118,330.29,340.2
1CHKX,1.2118,568.06,585.11
1CHLS,1.4074,14.56,15
1CHLT,1.4074,52.58,54.16
1CHLU,1.4074,144.16,148.49
1CHLV,1.4074,214.19,220.61
1CHLW,1.4074,330.29,340.2
1CHLX,1.4074,568.06,585.11
1CHMS,1.603,14.56,15
1CHMT,1.603,52.58,54.16
1CHMU,1.603,144.16,148.49
1CHMV,1.603,214.19,220.61
1CHMW,1.603,330.29,340.2
1CHMX,1.603,568.06,585.11
1CHNS,1.7986,14.56,15
1CHNT,1.7986,52.58,54.16
1CHNU,1.7986,144.16,148.49
1CHNV,1.7986,214.19,220.61
1CHNW,1.7986,330.29,340.2
1CHNX,1.7986,568.06,585.11
1CHPS,1.9942,14.56,15
1CHPT,1.9942,52.58,54.16
1CHPU,1.9942,144.16,148.49
1CHPV,1.9942,214.19,220.61
1CHPW,1.9942,330.29,340.2
1CHPX,1.9942,568.06,585.11
2AFKS,1.6223,14.56,15
2AFKT,1.6223,52.58,54.16
2AFKU,1.6223,144.16,148.49
2AFKV,1.6223,214.19,220.61
2AFKW,1.6223,330.29,340.2
2AFKX,1.6223,568.06,585.11
2AFLS,1.8331,14.56,15
2AFLT,1.8331,52.58,54.16
2AFLU,1.8331,144.16,148.49
2AFLV,1.8331,214.19,220.61
2AFLW,1.8331,330.29,340.2
2AFLX,1.8331,568.06,585.11
2AFMS,2.0438,14.56,15
2AFMT,2.0438,52.58,54.16
2AFMU,2.0438,144.16,148.49
2AFMV,2.0438,214.19,220.61
2AFMW,2.0438,330.29,340.2
2AFMX,2.0438,568.06,585.11
2AGKS,1.7186,14.56,15
2AGKT,1.7186,52.58,54.16
2AGKU,1.7186,144.16,148.49
2AGKV,1.7186,214.19,220.61
2AGKW,1.7186,330.29,340.2
2AGKX,1.7186,568.06,585.11
2AGLS,1.9496,14.56,15
2AGLT,1.9496,52.58,54.16
2AGLU,1.9496,144.16,148.49
2AGLV,1.9496,214.19,220.61
2AGLW,1.9496,330.29,340.2
2AGLX,1.9496,568.06,585.11
2AGMS,2.1807,14.56,15
2AGMT,2.1807,52.58,54.16
2AGMU,2.1807,144.16,148.49
2AGMV,2.1807,214.19,220.61
2AGMW,2.1807,330.29,340.2
2AGMX,2.1807,568.06,585.11
2AHKS,1.7668,14.56,15
2AHKT,1.7668,52.58,54.16
2AHKU,1.7668,144.16,148.49
2AHKV,1.7668,214.19,220.61
2AHKW,1.7668,330.29,340.2
2AHKX,1.7668,568.06,585.11
2AHLS,2.0252,14.56,15
2AHLT,2.0252,52.58,54.16
2AHLU,2.0252,144.16,148.49
2AHLV,2.0252,214.19,220.61
2AHLW,2.0252,330.29,340.2
2AHLX,2.0252,568.06,585.11
2AHMS,2.2836,14.56,15
2AHMT,2.2836,52.58,54.16
2AHMU,2.2836,144.16,148.49
2AHMV,2.2836,214.19,220.61
2AHMW,2.2836,330.29,340.2
2AHMX,2.2836,568.06,585.11
2BFKS,1.8153,14.56,15
2BFKT,1.8153,52.58,54.16
2BFKU,1.8153,144.16,148.49
2BFKV,1.8153,214.19,220.61
2BFKW,1.8153,330.29,340.2
2BFKX,1.8153,568.06,585.11
2BFLS,2.0224,14.56,15
2BFLT,2.0224,52.58,54.16
2BFLU,2.0224,144.16,148.49
2BFLV,2.0224,214.19,220.61
2BFLW,2.0224,330.29,340.2
2BFLX,2.0224,568.06,585.11
2BFMS,2.2294,14.56,15
2BFMT,2.2294,52.58,54.16
2BFMU,2.2294,144.16,148.49
2BFMV,2.2294,214.19,220.61
2BFMW,2.2294,330.29,340.2
2BFMX,2.2294,568.06,585.11
2BGKS,1.9116,14.56,15
2BGKT,1.9116,52.58,54.16
2BGKU,1.9116,144.16,148.49
2BGKV,1.9116,214.19,220.61
2BGKW,1.9116,330.29,340.2
2BGKX,1.9116,568.06,585.11
2BGLS,2.1389,14.56,15
2BGLT,2.1389,52.58,54.16
2BGLU,2.1389,144.16,148.49
2BGLV,2.1389,214.19,220.61
2BGLW,2.1389,330.29,340.2
2BGLX,2.1389,568.06,585.11
2BGMS,2.3663,14.56,15
2BGMT,2.3663,52.58,54.16
2BGMU,2.3663,144.16,148.49
2BGMV,2.3663,214.19,220.61
2BGMW,2.3663,330.29,340.2
2BGMX,2.3663,568.06,585.11
2BHKS,1.9598,14.56,15
2BHKT,1.9598,52.58,54.16
2BHKU,1.9598,144.16,148.49
2BHKV,1.9598,214.19,220.61
2BHKW,1.9598,330.29,340.2
2BHKX,1.9598,568.06,585.11
2BHLS,2.2145,14.56,15
2BHLT,2.2145,52.58,54.16
2BHLU,2.2145,144.16,148.49
2BHLV,2.2145,214.19,220.61
2BHLW,2.2145,330.29,340.2
2BHLX,2.2145,568.06,585.11
2BHMS,2.4691,14.56,15
2BHMT,2.4691,52.58,54.16
2BHMU,2.4691,144.16,148.49
2BHMV,2.4691,214.19,220.61
2BHMW,2.4691,330.29,340.2
2BHMX,2.4691,568.06,585.11
2CFKS,2.0453,14.56,15
2CFKT,2.0453,52.58,54.16
2CFKU,2.0453,144.16,148.49
2CFKV,2.0453,214.19,220.61
2CFKW,2.0453,330.29,340.2
2CFKX,2.0453,568.06,585.11
2CFLS,2.2682,14.56,15
2CFLT,2.2682,52.58,54.16
2CFLU,2.2682,144.16,148.49
2CFLV,2.2682,214.19,220.61
2CFLW,2.2682,330.29,340.2
2CFLX,2.2682,568.06,585.11
2CFMS,2.4911,14.56,15
2CFMT,2.4911,52.58,54.16
2CFMU,2.4911,144.16,148.49
2CFMV,2.4911,214.19,220.61
2CFMW,2.4911,330.29,340.2
2CFMX,2.4911,568.06,585.11
2CGKS,2.1415,14.56,15
2CGKT,2.1415,52.58,54.16
2CGKU,2.1415,144.16,148.49
2CGKV,2.1415,214.19,220.61
2CGKW,2.1415,330.29,340.2
2CGKX,2.1415,568.06,585.11
2CGLS,2.3848,14.56,15
2CGLT,2.3848,52.58,54.16
2CGLU,2.3848,144.16,148.49
2CGLV,2.3848,214.19,220.61
2CGLW,2.3848,330.29,340.2
2CGLX,2.3848,568.06,585.11
2CGMS,2.628,14.56,15
2CGMT,2.628,52.58,54.16
2CGMU,2.628,144.16,148.49
2CGMV,2.628,214.19,220.61
2CGMW,2.628,330.29,340.2
2CGMX,2.628,568.06,585.11
2CHKS,2.1897,14.56,15
2CHKT,2.1897,52.58,54.16
2CHKU,2.1897,144.16,148.49
2CHKV,2.1897,214.19,220.61
2CHKW,2.1897,330.29,340.2
2CHKX,2.1897,568.06,585.11
2CHLS,2.4603,14.56,15
2CHLT,2.4603,52.58,54.16
2CHLU,2.4603,144.16,148.49
2CHLV,2.4603,214.19,220.61
2CHLW,2.4603,330.29,340.2
2CHLX,2.4603,568.06,585.11
2CHMS,2.7309,14.56,15
2CHMT,2.7309,52.58,54.16
2CHMU,2.7309,144.16,148.49
2CHMV,2.7309,214.19,220.61
2CHMW,2.7309,330.29,340.2
2CHMX,2.7309,568.06,585.11
3AFKS,0.6692,14.56,15
3AFKT,0.6692,52.58,54.16
3AFKU,0.6692,144.16,148.49
3AFKV,0.6692,214.19,220.61
3AFKW,0.6692,330.29,340.2
3AFKX,0.6692,568.06,585.11
3AFLS,0.8718,14.56,15
3AFLT,0.8718,52.58,54.16
3AFLU,0.8718,144.16,148.49
3AFLV,0.8718,214.19,220.61
3AFLW,0.8718,330.29,340.2
3AFLX,0.8718,568.06,585.11
3AFMS,1.0744,14.56,15
3AFMT,1.0744,52.58,54.16
3AFMU,1.0744,144.16,148.49
3AFMV,1.0744,214.19,220.61
3AFMW,1.0744,330.29,340.2
3AFMX,1.0744,568.06,585.11
3AFNS,1.277,14.56,15
3AFNT,1.277,52.58,54.16
3AFNU,1.277,144.16,148.49
3AFNV,1.277,214.19,220.61
3AFNW,1.277,330.29,340.2
3AFNX,1.277,568.06,585.11
3AFPS,1.4796,14.56,15
3AFPT,1.4796,52.58,54.16
3AFPU,1.4796,144.16,148.49
3AFPV,1.4796,214.19,220.61
3AFPW,1.4796,330.29,340.2
