HIPPS Code,HHRG Weight,Supply Add-on,Rural Supply Add-on
4AHLU,2.1305,144.16,148.49
4AHLV,2.1305,214.19,220.61
4AHLW,2.1305,330.29,340.2
4AHLX,2.1305,568.06,585.11
4AHMS,2.3362,14.56,15
4AHMT,2.3362,52.58,54.16
4AHMU,2.3362,144.16,148.49
4AHMV,2.3362,214.19,220.61
4AHMW,2.3362,330.29,340.2
4AHMX,2.3362,568.06,585.11
4BFKS,1.8508,14.56,15
4BFKT,1.8508,52.58,54.16
4BFKU,1.8508,144.16,148.49
4BFKV,1.8508,214.19,220.61
4BFKW,1.8508,330.29,340.2
4BFKX,1.8508,568.06,585.11
4BFLS,2.046,14.56,15
4BFLT,2.046,52.58,54.16
4BFLU,2.046,144.16,148.49
4BFLV,2.046,214.19,220.61
4BFLW,2.046,330.29,340.2
4BFLX,2.046,568.06,585.11
4BFMS,2.2412,14.56,15
4BFMT,2.2412,52.58,54.16
4BFMU,2.2412,144.16,148.49
4BFMV,2.2412,214.19,220.61
4BFMW,2.2412,330.29,340.2
4BFMX,2.2412,568.06,585.11
4BGKS,1.9314,14.56,15
4BGKT,1.9314,52.58,54.16
4BGKU,1.9314,144.16,148.49
4BGKV,1.9314,214.19,220.61
4BGKW,1.9314,330.29,340.2
4BGKX,1.9314,568.06,585.11
4BGLS,2.1521,14.56,15
4BGLT,2.1521,52.58,54.16
4BGLU,2.1521,144.16,148.49
4BGLV,2.1521,214.19,220.61
4BGLW,2.1521,330.29,340.2
4BGLX,2.1521,568.06,585.11
4BGMS,2.3729,14.56,15
4BGMT,2.3729,52.58,54.16
4BGMU,2.3729,144.16,148.49
4BGMV,2.3729,214.19,220.61
4BGMW,2.3729,330.29,340.2
4BGMX,2.3729,568.06,585.11
4BHKS,2.0933,14.56,15
4BHKT,2.0933,52.58,54.16
4BHKU,2.0933,144.16,148.49
4BHKV,2.0933,214.19,220.61
4BHKW,2.0933,330.29,340.2
4BHKX,2.0933,568.06,585.11
4BHLS,2.3035,14.56,15
4BHLT,2.3035,52.58,54.16
4BHLU,2.3035,144.16,148.49
4BHLV,2.3035,214.19,220.61
4BHLW,2.3035,330.29,340.2
4BHLX,2.3035,568.06,585.11
4BHMS,2.5136,14.56,15
4BHMT,2.5136,52.58,54.16
4BHMU,2.5136,144.16,148.49
4BHMV,2.5136,214.19,220.61
4BHMW,2.5136,330.29,340.2
4BHMX,2.5136,568.06,585.11
4CFKS,2.0747,14.56,15
4CFKT,2.0747,52.58,54.16
4CFKU,2.0747,144.16,148.49
4CFKV,2.0747,214.19,220.61
4CFKW,2.0747,330.29,340.2
4CFKX,2.0747,568.06,585.11
4CFLS,2.2878,14.56,15
4CFLT,2.2878,52.58,54.16
4CFLU,2.2878,144.16,148.49
4CFLV,2.2878,214.19,220.61
4CFLW,2.2878,330.29,340.2
4CFLX,2.2878,568.06,585.11
4CFMS,2.5009,14.56,15
4CFMT,2.5009,52.58,54.16
4CFMU,2.5009,144.16,148.49
4CFMV,2.5009,214.19,220.61
4CFMW,2.5009,330.29,340.2
4CFMX,2.5009,568.06,585.11
4CGKS,2.1553,14.56,15
4CGKT,2.1553,52.58,54.16
4CGKU,2.1553,144.16,148.49
4CGKV,2.1553,214.19,220.61
4CGKW,2.1553,330.29,340.2
4CGKX,2.1553,568.06,585.11
4CGLS,2.394,14.56,15
4CGLT,2.394,52.58,54.16
4CGLU,2.394,144.16,148.49
4CGLV,2.394,214.19,220.61
4CGLW,2.394,330.29,340.2
4CGLX,2.394,568.06,585.11
4CGMS,2.6326,14.56,15
4CGMT,2.6326,52.58,54.16
4CGMU,2.6326,144.16,148.49
4CGMV,2.6326,214.19,220.61
4CGMW,2.6326,330.29,340.2
4CGMX,2.6326,568.06,585.11
4CHKS,2.3172,14.56,15
4CHKT,2.3172,52.58,54.16
4CHKU,2.3172,144.16,148.49
4CHKV,2.3172,214.19,220.61
4CHKW,2.3172,330.29,340.2
4CHKX,2.3172,568.06,585.11
4CHLS,2.5453,14.56,15
4CHLT,2.5453,52.58,54.16
4CHLU,2.5453,144.16,148.49
4CHLV,2.5453,214.19,220.61
4CHLW,2.5453,330.29,340.2
4CHLX,2.5453,568.06,585.11
4CHMS,2.7734,14.56,15
4CHMT,2.7734,52.58,54.16
4CHMU,2.7734,144.16,148.49
4CHMV,2.7734,214.19,220.61
4CHMW,2.7734,330.29,340.2
4CHMX,2.7734,568.06,585.11
5AFKS,2.2546,14.56,15
5AFKT,2.2546,52.58,54.16
5AFKU,2.2546,144.16,148.49
5AFKV,2.2546,214.19,220.61
5AFKW,2.2546,330.29,340.2
5AFKX,2.2546,568.06,585.11
5AGKS,2.4117,14.56,15
5AGKT,2.4117,52.58,54.16
5AGKU,2.4117,144.16,148.49
5AGKV,2.4117,214.19,220.61
5AGKW,2.4117,330.29,340.2
5AGKX,2.4117,568.06,585.11
5AHKS,2.5419,14.56,15
5AHKT,2.5419,52.58,54.16
5AHKU,2.5419,144.16,148.49
5AHKV,2.5419,214.19,220.61
5AHKW,2.5419,330.29,340.2
5AHKX,2.5419,568.06,585.11
5BFKS,2.4364,14.56,15
5BFKT,2.4364,52.58,54.16
5BFKU,2.4364,144.16,148.49
5BFKV,2.4364,214.19,220.61
5BFKW,2.4364,330.29,340.2
5BFKX,2.4364,568.06,585.11
5BGKS,2.5936,14.56,15
5BGKT,2.5936,52.58,54.16
5BGKU,2.5936,144.16,148.49
5BGKV,2.5936,214.19,220.61
5BGKW,2.5936,330.29,340.2
5BGKX,2.5936,568.06,585.11
5BHKS,2.7238,14.56,15
5BHKT,2.7238,52.58,54.16
5BHKU,2.7238,144.16,148.49
5BHKV,2.7238,214.19,220.61
5BHKW,2.7238,330.29,340.2
5BHKX,2.7238,568.06,585.11
5CFKS,2.714,14.56,15
5CFKT,2.714,52.58,54.16
5CFKU,2.714,144.16,148.49
5CFKV,2.714,214.19,220.61
5CFKW,2.714,330.29,340.2
5CFKX,2.714,568.06,585.11
5CGKS,2.8712,14.56,15
5CGKT,2.8712,52.58,54.16
5CGKU,2.8712,144.16,148.49
5CGKV,2.8712,214.19,220.61
5CGKW,2.8712,330.29,340.2
5CGKX,2.8712,568.06,585.11
5CHKS,3.0014,14.56,15
5CHKT,3.0014,52.58,54.16
5CHKU,3.0014,144.16,148.49
5CHKV,3.0014,214.19,220.61
5CHKW,3.0014,330.29,340.2
5CHKX,3.0014,568.06,585.11
