code,Name,State,CBSA,wage_index
45230,Callahan,Texas ,10180,0.7440
45721,Jones,Texas ,10180,0.7440
45911,Taylor,Texas ,10180,0.7440
40020,Aguada,Puerto Rico ,50124,0.3586
40030,Aguadilla,Puerto Rico ,50124,0.3586
40060,Anasco,Puerto Rico ,50124,0.3586
40350,Isabela,Puerto Rico ,50124,0.3586
40400,Lares,Puerto Rico ,50124,0.3586
40490,Moca,Puerto Rico ,50124,0.3586
40580,Rincon,Puerto Rico ,50124,0.3586
40660,San Sebastian,Puerto Rico ,50124,0.3586
40710,Utuado,Puerto Rico ,50129,0.3817
36680,Portage,Ohio,10420,0.8539
36780,Summit,Ohio,10420,0.8539
11020,Baker,Georgia ,10500,0.8128
11390,Dougherty,Georgia ,10500,0.8128
11670,Lee,Georgia ,10500,0.8128
11885,Terrell,Georgia ,10500,0.8128
11980,Worth,Georgia ,10500,0.8128
38210,Linn,Oregon ,10540,1.0481
33000,Albany,New York ,10580,0.8453
33600,Rensselaer,New York ,10580,0.8453
33640,Saratoga,New York ,10580,0.8453
33650,Schenectady,New York ,10580,0.8453
33660,Schoharie,New York ,10580,0.8453
32000,Bernalillo,New Mexico ,10740,0.9478
32210,Sandoval,New Mexico ,10740,0.9478
32280,Torrance,New Mexico ,10740,0.9478
32300,Valencia,New Mexico ,10740,0.9478
19210,Grant,Louisiana ,10780,0.7813
19390,Rapides,Louisiana ,10780,0.7813
39190,Carbon,Pennsylvania ,10900,0.9121
39470,Lehigh,Pennsylvania ,10900,0.9121
39590,Northampton,Pennsylvania ,10900,0.9121
31390,Warren,New Jersey,10900,0.9121
39120,Blair,Pennsylvania ,11020,0.9345
45050,Armstrong,Texas ,50148,0.8277
45251,Carson,Texas ,50148,0.8277
45860,Potter,Texas ,50148,0.8277
45871,Randall,Texas ,50148,0.8277
45832,Oldham,Texas ,50163,0.8066
16840,Story,Iowa ,11180,0.9331
5400,Orange,California ,11244,1.2010
2020,Anchorage,Alaska ,11260,1.2419
2170,Matanuska,Alaska ,11260,1.2419
23800,Washtenaw,Michigan ,11460,1.0219
1070,Calhoun,Alabama ,11500,0.7466
52070,Calumet,Wisconsin ,11540,0.9626
52430,Outagamie,Wisconsin ,11540,0.9626
